Country code,State code,Postcode / ZIP,City,Rate %,Tax name,Priority,Compound,Shipping,Tax class
US,AK,99501,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99502,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99503,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99504,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99505,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99506,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99507,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99508,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99509,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99510,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99511,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99513,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99514,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99515,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99516,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99517,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99518,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99519,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99520,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99521,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99522,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99523,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99524,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99529,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99530,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99540,,0,ANCHORAGE BOROUGH,0,0,1,
US,AK,99545,,0,ALASKA,0,0,1,
US,AK,99546,,0,ADAK,0,0,1,
US,AK,99547,,0,ATKA,0,0,1,
US,AK,99548,,0,KODIAK ISLAND BOROUGH,0,0,1,
US,AK,99549,,0,PORT HEIDEN,0,0,1,
US,AK,99550,,0,KODIAK ISLAND BOROUGH,0,0,1,
US,AK,99551,,0,ALASKA,0,0,1,
US,AK,99552,,0,AKIAK,0,0,1,
US,AK,99553,,0,AKUTAN,0,0,1,
US,AK,99554,,0,ALAKANUK,0,0,1,
US,AK,99555,,0,ALEKNAGIK,0,0,1,
US,AK,99556,,0,KENAI PENINSULA,0,0,1,
US,AK,99557,,0,ANIAK,0,0,1,
US,AK,99558,,0,ANVIK,0,0,1,
US,AK,99559,,0,BETHEL,0,0,1,
US,AK,99561,,0,CHEFORNAK,0,0,1,
US,AK,99563,,0,CHEVAK,0,0,1,
US,AK,99564,,0,CHIGNIK,0,0,1,
US,AK,99565,,0,KENAI,0,0,1,
US,AK,99566,,0,ALASKA,0,0,1,
